,kegg_hit,viral_hit,viral_identity,viral_eVal,pfam_hits,cazy_ids,cazy_hits,vogdb_hits
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_31,chitinase [EC:3.2.1.14],YP_001649087.1 chitinase [Helicoverpa armigera granulovirus],0.228,1.04E-22,Glycosyl hydrolases family 18 [PF00704.31]; Chitin binding Peritrophin-A domain [PF01607.27],GH18,GH18 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin; dIota;-N-acetylchitobiase / reducing-end exo-hexosaminidase (EC 3.2.1.-); chitobiosidase (EC 3.2.1.200),sp|P07254|CHIA_SERMA Chitinase A; Xh
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_32,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_33,,,,,zinc-RING finger domain [PF14634.9],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_34,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_35,cap1 methyltransferase [EC:2.1.1.57],NP_075132.1 hypothetical protein HanGV4gp063 [Helicoverpa armigera nucleopolyhedrovirus G4],0.304,3.66E-21,FtsJ-like methyltransferase [PF01728.22],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_36,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_37,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_38,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_39,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_40,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_41,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_42,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_43,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_44,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_45,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_46,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_47,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_48,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_49,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_50,dihydrofolate reductase [EC:1.5.1.3],YP_010087447.1 dihydrofolate reductase [Phascolarctid gammaherpesvirus 1],0.41,5.73E-34,Dihydrofolate reductase [PF00186.22],,,sp|P04382|DYR_BPT4 Dihydrofolate reductase; Xh
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_51,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_52,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_53,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_54,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_55,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_56,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_57,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_58,,,,,Protein of unknown function (DUF1157) [PF06636.14],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_59,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_60,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_61,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_62,,YP_004956815.1 orf67 gene product [Helicoverpa zea nudivirus 2],0.409,1.02E-36,Deoxynucleoside kinase [PF01712.22]; Thymidylate kinase [PF02223.20],,,sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1; Xp
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_63,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_64,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_65,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_66,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_67,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_68,,,,,,,,

