,kegg_hit,viral_hit,viral_identity,peptidase_hit,peptidase_identity,pfam_hits,vogdb_hits
AmFLV_56,,YP_009165852.1 HP APL35_gp101 [AmFV],0.398,MER1099597 - T19H12.6 g.p. ({Caenorhabditis elegans}) (Fopius arisanus) [T03.A08]#T03#{peptidase unit: 21-461}~source A0A0C9R2T6~,0.199,Gamma-glutamyltranspeptidase [PF01019.24],
AmFLV_57,,YP_009165851.1 PIF-2 protein [AmFV],0.515,,,Per os infectivity factor 2 [PF04631.15],sp|O10281|Y022_NPVOP Uncharacterized 43.4 kDa protein; Xu
AmFLV_59,,YP_009165803.1 HP APL35_gp052 [AmFV],0.228,,,,
AmFLV_63,,YP_009165808.1 HP APL35_gp057 [AmFV],0.4,,,,
AmFLV_65,,YP_009165988.1 HP APL35_gp237 [AmFV],0.168,,,,
AmFLV_72,,,,,,Histidine phosphatase superfamily (branch 2) [PF00328.25],REFSEQ histidine phosphatase domain-containing protein; Xu
AmFLV_74,flap endonuclease-1 [EC:3.1.-.-],YP_293772.1 putative endonuclease [Emiliania huxleyi virus 86],0.429,,,XPG I-region [PF00867.21]; XPG N-terminal domain [PF00752.20],sp|P13319|RNH_BPT4 Ribonuclease H; Xr
AmFLV_76,glycine hydroxymethyltransferase [EC:2.1.2.1],YP_004956814.1 orf66 gene product [Helicoverpa zea nudivirus 2],0.584,,,Serine hydroxymethyltransferase [PF00464.22],sp|A6Q478|GLYA_NITSB Serine hydroxymethyltransferase; Xh
AmFLV_81,,YP_009165813.1 HP APL35_gp062 [AmFV],0.316,,,,
AmFLV_85,,,,,,"Prokaryotic RING finger family 4 [PF14447.9]; zinc-RING finger domain [PF14634.9]; Zinc finger, C3HC4 type (RING finger) [PF13920.9]",
AmFLV_87,,YP_009165825.1 DNA polymerase [AmFV],0.284,,,DNA polymerase family B [PF00136.24],sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase; XhXr
AmFLV_88,,YP_009165811.1 PIF-1 protein [AmFV],0.417,,,Per os infectivity [PF05092.15],sp|P41672|PIF1_NPVAC Per os infectivity factor 1; Xs
AmFLV_89,dUTP pyrophosphatase [EC:3.6.1.23],YP_010087386.1 trimeric dUTPase [Vombatid gammaherpesvirus 1],0.551,,,dUTPase [PF00692.22],
AmFLV_91,,YP_009165800.1 HP APL35_gp049 [AmFV],0.284,,,,
AmFLV_93,,YP_009165796.1 HP APL35_gp045 [AmFV],0.426,,,,
AmFLV_94,,YP_009165794.1 HP APL35_gp043 [AmFV],0.249,,,,
AmFLV_95,,YP_009165793.1 HP APL35_gp042 [AmFV],0.422,,,Phage integrase family [PF00589.25],sp|P42540|VINT_BPL2 Probable integrase/recombinase; Xr
AmFLV_99,,,,,,FAD-binding domain [PF08022.15],
AmFLV_101,,YP_009165774.1 ATP-dependent zinc metalloprotease [AmFV],0.506,,,ATPase family associated with various cellular activities (AAA) [PF00004.32]; AAA domain (Cdc48 subfamily) [PF07724.17]; AAA domain (dynein-related subfamily) [PF07728.17]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Rad17 P-loop domain [PF03215.18]; AAA domain [PF13401.9]; recA bacterial DNA recombination protein [PF00154.24]; AAA domain [PF13671.9]; Bacterial dnaA  protein [PF00308.21]; TIP49 P-loop domain [PF06068.16],
AmFLV_102,,YP_009165773.1 HP APL35_gp022 [AmFV],0.39,,,,
AmFLV_104,,YP_009165769.1 HP APL35_gp018 [AmFV],0.406,,,,
AmFLV_105,,YP_009165768.1 HP APL35_gp017 [AmFV],0.281,,,,
AmFLV_106,,YP_009165762.1 HP APL35_gp011 [AmFV],0.311,,,Kinesin motor domain [PF00225.26]; Microtubule binding [PF16796.8],
AmFLV_109,,YP_009165756.1 metalloproteinase [AmFV],0.272,,,Matrixin [PF00413.27],
AmFLV_111,,YP_009165753.1 HP APL35_gp002 [AmFV],0.255,,,alpha/beta hydrolase fold [PF07859.16]; BD-FAE [PF20434.1]; Steryl acetyl hydrolase [PF10340.12],

